model,balanced_acc_mean,balanced_acc_std,f1_mean,f1_std
RandomForest,0.9989368497782671,0.00014600899587942072,0.9994001941771314,8.354241793649961e-05
Kernel-SVM (RFF),0.9682443716848909,0.00015838047159880494,0.9743935910042785,9.854410719674707e-05
LogReg,0.9379303234836083,0.0009990329144885346,0.9511239631077115,0.0007058594905172124
LinearSVM,0.9359525567807767,0.0007247651767633556,0.9478226158079301,0.0005481986844293582
