model,balanced_acc_mean,balanced_acc_std,f1_macro_mean,f1_macro_std
RandomForest,0.6019758357768017,0.00246276690578345,0.6030159311039338,0.0014115698575128176
Kernel-SVM (RFF),0.5524689671146015,0.0032040233553482576,0.46536615707088824,0.0020297493693119412
LogReg,0.5139937054975199,0.0014253615060657544,0.39938911775518854,0.0029826078615012284
LinearSVM,0.45292888985653745,0.004995708175936665,0.36615419769353996,0.0033484685419896054
